num_layers,peakmem
1,1727.87109375
2,2242.9765625
3,2756.2734375
4,3274.44921875
5,3786.20703125
6,4301.33984375
7,4815.36328125
8,5324.88671875
9,5840.1796875
10,6294.00390625
